avg_crypto_exposure_pct,avg_exposure_pct,benchmark_return_pct,calmar,cap_scale,cofire_pct,crypto_contribution_pct,crypto_signals,end_date,final_equity,halt_events,halt_liquidations,max_drawdown_pct,nyse_signals,paper_aggressive,pause_days,resume_events,sharpe,sim_days,social_sleeve,sortino,spy_signals,start_date,total_orders,total_return_pct,variant,variant_label,vti_core_pct,window
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,baseline,80/20 VTI — all opts off (live today),0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,plus_overlap,+NYSE overlap only,0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,plus_spy_exit,+SPY MA exit only,0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,plus_adaptive,+adaptive chunk only,0.8,365d
1.8,95.2,24.59,2.08,0.197,7.1,4.34,7,2026-06-07,12066.13,0,0,-9.91,7,False,116,0,1.25,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.51,7,2025-06-08,21,20.66,plus_adaptive_cofire,+adaptive chunk + co-fire only,0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,plus_beta,+NYSE beta scaling only,0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,rec_step1,recommended step 1: +overlap,0.8,365d
1.6,94.8,24.59,2.22,0.197,0.0,4.41,7,2026-06-07,12156.91,0,0,-9.73,6,False,116,0,1.31,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.59,11,2025-06-08,24,21.57,rec_step2,recommended step 2: +overlap +adaptive,0.8,365d
1.8,95.2,24.59,2.08,0.197,7.1,4.34,7,2026-06-07,12066.13,0,0,-9.91,7,False,116,0,1.25,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.51,7,2025-06-08,21,20.66,rec_step3,recommended step 3: +overlap +adaptive +cofire,0.8,365d
1.8,95.2,24.59,2.08,0.197,7.1,4.34,7,2026-06-07,12066.13,0,0,-9.91,7,False,116,0,1.25,364,"{'enabled': True, 'cap_pct': 0.1, 'initial_capital': 10000.0, 'final_equity': np.float64(10209.31), 'return_pct': np.float64(2.09), 'trades': 46}",1.51,7,2025-06-08,21,20.66,rec_full,recommended full: +overlap +adaptive +cofire +SPY exit,0.8,365d
