ma_window,alloc_pct,ma_exit,total_return_pct,benchmark_pct,sharpe,max_drawdown_pct,final_equity,buys,ma_exits,stop_exits
200,100,no,17.92,18.52,1.45,-8.49,11792.34,1,0,0
200,50,no,9.43,18.52,1.45,-4.67,10943.33,1,0,0
200,25,no,4.72,18.52,1.44,-2.39,10471.67,1,0,0
200,10,no,1.89,18.52,1.44,-0.97,10188.67,1,0,0
20,100,no,17.5,18.52,1.42,-8.49,11749.94,1,0,0
50,100,no,17.5,18.52,1.42,-8.49,11749.94,1,0,0
100,100,no,17.5,18.52,1.42,-8.49,11749.94,1,0,0
20,50,no,9.21,18.52,1.42,-4.66,10921.02,1,0,0
50,50,no,9.21,18.52,1.42,-4.66,10921.02,1,0,0
100,50,no,9.21,18.52,1.42,-4.66,10921.02,1,0,0
20,25,no,4.61,18.52,1.41,-2.39,10460.51,1,0,0
50,25,no,4.61,18.52,1.41,-2.39,10460.51,1,0,0
100,25,no,4.61,18.52,1.41,-2.39,10460.51,1,0,0
20,10,no,1.84,18.52,1.41,-0.97,10184.2,1,0,0
50,10,no,1.84,18.52,1.41,-0.97,10184.2,1,0,0
100,10,no,1.84,18.52,1.41,-0.97,10184.2,1,0,0
200,100,yes,14.56,18.52,1.36,-5.08,11456.21,3,3,0
200,50,yes,7.58,18.52,1.34,-2.78,10757.66,3,4,0
200,25,yes,3.77,18.52,1.32,-1.42,10376.7,3,3,0
200,10,yes,1.5,18.52,1.31,-0.57,10150.16,3,2,0
100,25,yes,2.56,18.52,1.01,-1.98,10255.52,7,7,0
100,100,yes,9.25,18.52,0.99,-7.52,10925.12,7,9,0
100,50,yes,4.84,18.52,0.96,-4.13,10483.62,7,8,0
100,10,yes,0.97,18.52,0.95,-0.85,10097.22,7,8,0
50,100,yes,6.75,18.52,0.77,-8.49,10675.25,9,13,0
50,50,yes,3.63,18.52,0.77,-4.57,10362.74,9,12,0
50,25,yes,1.83,18.52,0.77,-2.31,10183.4,9,12,0
50,10,yes,0.74,18.52,0.77,-0.93,10073.85,9,10,0
20,25,yes,0.8,18.52,0.37,-2.74,10080.43,16,23,0
20,10,yes,0.22,18.52,0.28,-1.13,10022.37,14,21,0
20,50,yes,0.2,18.52,0.07,-6.22,10020.24,17,24,0
20,100,yes,-1.56,18.52,-0.11,-16.46,9844.19,15,19,0
