symbol,entry_day,signal_day,sell_day,hold_days,overnight_pnl_pct,sell_open_pnl_pct,sell_10et_pnl_pct,sell_close_pnl_pct,open_vs_ten_pp,ten_vs_open_pp,open_vs_close_pp,momentum_entry,cohort
SMCI,2026-08-25,2026-08-26,2026-08-27,1,-0.0272,0.0057,0.0068,-0.0001,-0.105,0.104,0.585,True,momentum
SMCI,2026-08-31,2026-09-01,2026-09-02,1,-0.015,0.0099,-0.0298,-0.0075,3.97,-3.931,1.744,True,momentum
PLTR,2026-08-24,2026-08-25,2026-08-26,1,-0.018,-0.031,-0.0147,0.009,-1.64,1.692,-4.006,True,momentum
PLTR,2026-08-27,2026-09-01,2026-09-02,3,-0.0323,-0.0479,-0.0537,-0.0884,0.578,-0.607,4.053,True,momentum
AMZN,2026-08-24,2026-08-27,2026-08-28,3,-0.0222,-0.0142,-0.0103,0.0166,-0.385,0.391,-3.076,True,momentum
TSLA,2026-08-31,2026-09-01,2026-09-02,1,-0.0321,-0.0199,-0.044,-0.0297,2.414,-2.462,0.984,True,momentum
MSFT,2026-08-27,2026-09-02,2026-09-03,4,-0.016,-0.0054,0.0136,0.0103,-1.901,1.912,-1.573,True,momentum
NFLX,2026-08-25,2026-08-27,2026-08-28,2,-0.0295,-0.0233,-0.0164,-0.0064,-0.693,0.71,-1.696,True,momentum
NVDA,2026-08-25,2026-08-26,2026-08-27,1,-0.0142,0.0451,0.0529,0.0708,-0.777,0.744,-2.566,True,momentum
NVDA,2026-08-31,2026-09-01,2026-09-02,1,-0.0151,-0.0056,0.0026,0.0159,-0.824,0.829,-2.155,True,momentum
MU,2026-08-31,2026-09-01,2026-09-02,1,-0.0245,-0.027,-0.018,-0.002,-0.903,0.928,-2.501,True,momentum
GOLD,2026-08-24,2026-08-31,2026-09-01,5,-0.0186,-0.0376,-0.0731,-0.0576,3.559,-3.698,2.009,True,momentum
CRM,2026-08-24,2026-08-25,2026-08-26,1,-0.016,-0.0436,-0.0212,-0.0141,-2.239,2.341,-2.951,True,momentum
AEM,2026-08-24,2026-08-26,2026-08-27,2,-0.0179,-0.0174,-0.0237,-0.0113,0.626,-0.638,-0.61,True,momentum
AEM,2026-08-28,2026-08-31,2026-09-01,1,-0.0156,-0.0468,-0.0461,-0.0621,-0.073,0.076,1.528,True,momentum
WPM,2026-08-24,2026-08-26,2026-08-27,2,-0.0261,-0.0267,-0.0228,-0.0132,-0.396,0.407,-1.349,True,momentum
WPM,2026-08-28,2026-08-31,2026-09-01,1,-0.0163,-0.0479,-0.0427,-0.0548,-0.515,0.541,0.691,True,momentum
SHOP,2026-08-24,2026-08-31,2026-09-01,5,-0.0162,-0.0441,-0.0535,-0.0674,0.948,-0.992,2.33,True,momentum
ONDS,2026-08-24,2026-08-28,2026-08-31,4,-0.0389,-0.0425,-0.0504,-0.0704,0.789,-0.824,2.793,True,momentum
COIN,2026-08-24,2026-09-01,2026-09-02,6,-0.0148,-0.0289,-0.011,-0.025,-1.794,1.847,-0.39,True,momentum
INFQ,2026-08-24,2026-08-28,2026-08-31,4,-0.0184,-0.033,-0.0069,0.0023,-2.607,2.696,-3.528,True,momentum
NEM,2026-08-24,2026-08-28,2026-08-31,4,-0.0297,-0.0333,-0.052,-0.0441,1.866,-1.93,1.085,True,momentum
CLF,2026-08-27,2026-08-28,2026-08-31,1,-0.0186,-0.0076,-0.019,-0.0249,1.14,-1.149,1.731,True,momentum
AU,2026-08-24,2026-08-26,2026-08-27,2,-0.0201,-0.0254,-0.0217,-0.0173,-0.374,0.383,-0.813,True,momentum
AU,2026-08-28,2026-09-01,2026-09-02,2,-0.0442,-0.0256,-0.0315,-0.0474,0.592,-0.608,2.184,True,momentum
FNV,2026-08-24,2026-08-26,2026-08-27,2,-0.0109,-0.011,-0.0044,0.0045,-0.655,0.662,-1.547,True,momentum
FNV,2026-08-28,2026-08-31,2026-09-01,1,-0.012,-0.0335,-0.0358,-0.0405,0.225,-0.233,0.695,True,momentum
RGLD,2026-08-24,2026-09-01,2026-09-02,6,-0.0361,-0.0151,-0.0197,-0.0202,0.463,-0.47,0.516,True,momentum
PAAS,2026-08-24,2026-08-26,2026-08-27,2,-0.0185,-0.0157,-0.0004,0.024,-1.529,1.553,-3.962,True,momentum
PAAS,2026-08-28,2026-08-31,2026-09-01,1,-0.0177,-0.0542,-0.0413,-0.0542,-1.286,1.36,0.0,True,momentum
SCCO,2026-08-24,2026-08-28,2026-08-31,4,-0.0209,-0.0207,-0.0347,-0.025,1.4,-1.43,0.429,True,momentum
VALE,2026-08-25,2026-08-26,2026-08-27,1,-0.0104,-0.0108,-0.0159,-0.0013,0.51,-0.516,-0.946,True,momentum
AA,2026-08-25,2026-08-26,2026-08-27,1,-0.03,-0.0349,-0.0201,-0.0016,-1.482,1.536,-3.335,True,momentum
BHP,2026-08-24,2026-08-28,2026-08-31,4,-0.0206,-0.0111,-0.025,-0.0329,1.39,-1.405,2.182,True,momentum
AG,2026-08-24,2026-08-31,2026-09-01,5,-0.0129,-0.0542,-0.036,-0.0475,-1.822,1.926,-0.671,True,momentum
FCX,2026-08-24,2026-08-28,2026-08-31,4,-0.0172,-0.0111,-0.0274,-0.0267,1.632,-1.65,1.568,True,momentum
KGC,2026-08-24,2026-08-26,2026-08-27,2,-0.0199,-0.0199,-0.0229,-0.0141,0.303,-0.309,-0.576,True,momentum
KGC,2026-08-28,2026-08-31,2026-09-01,1,-0.0194,-0.0513,-0.0472,-0.0585,-0.416,0.438,0.72,True,momentum
BAC,2026-08-24,2026-08-27,2026-08-28,3,-0.0187,-0.0152,-0.0072,0.0,-0.802,0.815,-1.524,True,momentum
FWONA,2026-08-24,2026-08-25,2026-08-26,1,-0.0201,-0.0151,-0.0239,-0.0297,0.88,-0.894,1.465,True,momentum
FWONA,2026-08-27,2026-08-31,2026-09-01,2,-0.0211,-0.0246,-0.0306,-0.0465,0.601,-0.616,2.185,True,momentum
KTOS,2026-08-24,2026-08-28,2026-08-31,4,-0.0202,-0.0259,-0.0335,-0.0394,0.763,-0.783,1.347,True,momentum
CVX,2026-08-24,2026-08-25,2026-08-26,1,-0.0156,-0.0213,-0.0178,-0.0138,-0.352,0.36,-0.744,True,momentum
PBF,2026-08-24,2026-08-25,2026-08-26,1,-0.0435,-0.0633,-0.0392,0.0029,-2.412,2.575,-6.617,True,momentum
PFE,2026-08-25,2026-08-27,2026-08-28,2,-0.0198,-0.02,-0.0206,-0.0214,0.07,-0.071,0.14,True,momentum
JNJ,2026-08-24,2026-08-26,2026-08-27,2,-0.0111,-0.017,-0.0331,-0.0268,1.615,-1.643,0.981,True,momentum
RIO,2026-08-24,2026-08-28,2026-08-31,4,-0.014,-0.0057,-0.0145,-0.0221,0.873,-0.878,1.636,True,momentum
XOM,2026-08-24,2026-08-25,2026-08-26,1,-0.0209,-0.037,-0.0279,-0.0358,-0.914,0.949,-0.122,True,momentum
GS,2026-08-25,2026-08-26,2026-08-27,1,-0.0174,-0.0165,-0.0114,-0.0172,-0.506,0.514,0.07,True,momentum
LNG,2026-08-26,2026-08-27,2026-08-28,1,-0.0119,-0.009,-0.0086,-0.0062,-0.035,0.036,-0.275,True,momentum
KNSA,2026-08-24,2026-08-28,2026-08-31,4,-0.0151,-0.0166,-0.0291,-0.0087,1.248,-1.269,-0.794,True,momentum
ELF,2026-08-24,2026-08-28,2026-08-31,4,-0.0176,-0.0303,-0.0143,0.0294,-1.595,1.645,-5.966,True,momentum
TVTX,2026-08-25,2026-08-28,2026-08-31,3,-0.0206,-0.0198,-0.0232,-0.0117,0.336,-0.342,-0.813,True,momentum
HALO,2026-08-24,2026-08-26,2026-08-27,2,-0.0144,-0.0182,-0.0186,-0.0157,0.037,-0.038,-0.246,True,momentum
VEEV,2026-08-24,2026-08-26,2026-08-27,2,-0.0153,0.108,0.1891,0.1354,-8.106,7.316,-2.738,True,momentum
VEEV,2026-08-31,2026-09-01,2026-09-02,1,-0.0219,-0.0255,-0.0167,-0.0169,-0.888,0.911,-0.861,True,momentum
TWST,2026-08-24,2026-08-31,2026-09-01,5,-0.0136,-0.0415,-0.031,-0.0613,-1.044,1.089,1.981,True,momentum
VLO,2026-08-24,2026-08-25,2026-08-26,1,-0.0159,-0.0296,-0.0272,0.006,-0.249,0.256,-3.56,True,momentum
PSX,2026-08-24,2026-08-25,2026-08-26,1,-0.0212,-0.0327,-0.0216,0.0011,-1.108,1.145,-3.38,True,momentum
QLYS,2026-08-24,2026-08-25,2026-08-26,1,-0.0147,-0.024,-0.0014,-0.0104,-2.263,2.319,-1.367,True,momentum
QLYS,2026-08-27,2026-08-31,2026-09-01,2,-0.0136,-0.0053,-0.0372,-0.0612,3.183,-3.2,5.583,True,momentum
DINO,2026-08-24,2026-08-25,2026-08-26,1,-0.0205,-0.0334,-0.0275,0.0141,-0.594,0.614,-4.749,True,momentum
PATH,2026-08-27,2026-09-02,2026-09-03,4,-0.0177,0.0041,0.0221,-0.0044,-1.801,1.793,0.846,True,momentum
CAKE,2026-08-24,2026-08-27,2026-08-28,3,-0.0398,-0.0339,-0.0264,-0.0221,-0.755,0.781,-1.186,True,momentum
CAKE,2026-08-31,2026-09-01,2026-09-02,1,-0.0105,-0.0074,-0.0045,-0.0091,-0.292,0.294,0.173,True,momentum
MPC,2026-08-24,2026-08-25,2026-08-26,1,-0.0216,-0.0329,-0.022,-0.0012,-1.089,1.126,-3.17,True,momentum
FDS,2026-08-24,2026-08-25,2026-08-26,1,-0.0305,-0.0453,-0.0381,-0.0323,-0.714,0.748,-1.3,True,momentum
FDS,2026-08-28,2026-09-01,2026-09-02,2,-0.0111,-0.0237,-0.0049,-0.0089,-1.885,1.93,-1.483,True,momentum
CNO,2026-08-27,2026-09-01,2026-09-02,3,-0.0111,-0.0063,0.0004,0.0031,-0.671,0.675,-0.943,True,momentum
DB,2026-08-26,2026-09-01,2026-09-02,4,-0.0158,0.0009,0.0019,0.0066,-0.099,0.099,-0.572,True,momentum
ZETA,2026-08-24,2026-08-25,2026-08-26,1,-0.0209,-0.0407,-0.0144,-0.0084,-2.634,2.746,-3.231,True,momentum
ZETA,2026-08-31,2026-09-02,2026-09-03,2,-0.0171,-0.0023,0.0384,0.0559,-4.068,4.078,-5.812,True,momentum
SMCI,2026-08-25,2026-08-26,2026-08-27,1,-0.0272,0.0057,0.0068,-0.0001,-0.105,0.104,0.585,False,broad
SMCI,2026-08-31,2026-09-01,2026-09-02,1,-0.015,0.0099,-0.0298,-0.0075,3.97,-3.931,1.744,False,broad
PLTR,2026-08-24,2026-08-25,2026-08-26,1,-0.018,-0.031,-0.0147,0.009,-1.64,1.692,-4.006,False,broad
PLTR,2026-08-27,2026-09-01,2026-09-02,3,-0.0323,-0.0479,-0.0537,-0.0884,0.578,-0.607,4.053,False,broad
AMZN,2026-08-24,2026-08-27,2026-08-28,3,-0.0222,-0.0142,-0.0103,0.0166,-0.385,0.391,-3.076,False,broad
AMZN,2026-08-31,2026-09-01,2026-09-02,1,-0.0193,-0.0218,-0.0179,-0.0191,-0.394,0.403,-0.275,False,broad
GOOGL,2026-08-24,2026-08-26,2026-08-27,2,-0.0172,-0.024,-0.022,-0.0213,-0.208,0.213,-0.27,False,broad
GOOGL,2026-08-28,2026-08-31,2026-09-01,1,-0.0208,-0.0302,-0.0291,-0.0331,-0.113,0.116,0.286,False,broad
AMD,2026-08-25,2026-08-28,2026-08-31,3,-0.0285,-0.0143,-0.0171,-0.0194,0.282,-0.286,0.513,False,broad
TSLA,2026-08-25,2026-08-26,2026-08-27,1,-0.0122,-0.011,0.0002,0.0127,-1.118,1.131,-2.368,False,broad
TSLA,2026-08-31,2026-09-01,2026-09-02,1,-0.0321,-0.0199,-0.044,-0.0297,2.414,-2.462,0.984,False,broad
MSFT,2026-08-27,2026-09-02,2026-09-03,4,-0.016,-0.0054,0.0136,0.0103,-1.901,1.912,-1.573,False,broad
NFLX,2026-08-25,2026-08-27,2026-08-28,2,-0.0295,-0.0233,-0.0164,-0.0064,-0.693,0.71,-1.696,False,broad
