spy_ma_window,nyse_ma_window,risk_per_trade,regime_e_multiplier,max_hold_bars,total_return_pct,sharpe,max_drawdown_pct,final_equity,composite_score,elapsed_sec
150,70,0.022,1.6,60,23.98,1.47,-6.67,12398.12,0.8233,59.3
150,70,0.01,1.6,60,23.99,1.46,-6.63,12399.22,0.8194,128.2
150,70,0.01,1.4,60,23.99,1.46,-6.63,12399.22,0.8194,60.1
150,70,0.01,1.0,60,23.99,1.46,-6.63,12399.22,0.8194,59.8
150,30,0.01,1.6,45,23.75,1.45,-7.18,12374.84,0.8064,59.4
150,30,0.01,1.0,45,23.75,1.45,-7.18,12374.84,0.8064,58.9
150,30,0.04,1.4,45,23.58,1.44,-7.31,12357.96,0.7994,120.0
150,50,0.01,1.0,45,22.74,1.41,-6.89,12274.11,0.7852,121.0
150,30,0.01,1.6,60,23.16,1.41,-7.93,12315.85,0.777,59.8
150,30,0.04,1.4,60,23.13,1.41,-7.95,12313.45,0.7766,61.8
150,30,0.04,1.6,60,23.13,1.41,-7.95,12313.45,0.7766,127.8
150,30,0.01,1.6,20,22.83,1.4,-7.47,12283.37,0.7749,120.1
150,50,0.022,1.4,45,22.09,1.37,-7.4,12209.39,0.7574,58.2
150,70,0.01,1.0,45,22.26,1.37,-7.59,12225.73,0.7566,59.7
150,70,0.022,1.6,45,22.28,1.37,-7.63,12227.58,0.7563,129.8
150,50,0.01,1.6,60,22.14,1.37,-8.11,12214.12,0.7512,124.7
150,50,0.04,1.4,60,21.97,1.36,-8.09,12196.81,0.7458,60.5
150,50,0.022,1.4,20,21.6,1.34,-8.24,12159.7,0.7333,56.9
200,30,0.01,1.6,20,17.91,1.31,-7.41,11790.59,0.7037,48.9
150,70,0.01,1.4,20,20.5,1.28,-8.41,12049.9,0.6984,123.4
200,30,0.01,1.4,60,18.23,1.3,-7.87,11822.6,0.6976,50.7
200,30,0.04,1.6,60,18.14,1.29,-7.92,11814.26,0.6922,49.9
200,70,0.01,1.4,45,16.82,1.22,-8.03,11681.57,0.6518,108.8
200,70,0.022,1.6,45,16.77,1.22,-8.06,11677.28,0.6513,50.7
200,70,0.01,1.6,60,16.69,1.21,-8.04,11668.85,0.6465,49.5
200,70,0.04,1.0,45,16.73,1.21,-8.1,11672.63,0.6463,50.0
200,50,0.04,1.4,20,16.17,1.19,-8.14,11617.17,0.6337,48.8
200,50,0.01,1.0,20,16.15,1.19,-8.26,11615.41,0.6328,50.1
200,50,0.01,1.6,20,16.15,1.19,-8.26,11615.41,0.6328,46.6
200,70,0.022,1.6,20,15.1,1.12,-8.28,11510.32,0.5949,50.2
250,30,0.022,1.6,60,9.99,0.98,-6.71,10999.49,0.5082,39.3
250,30,0.022,1.0,60,9.99,0.98,-6.71,10999.49,0.5082,91.5
250,30,0.04,1.6,60,9.9,0.97,-6.75,10990.34,0.5029,90.5
250,50,0.01,1.4,60,9.62,0.96,-6.42,10961.65,0.4983,40.7
250,30,0.022,1.6,45,9.58,0.93,-6.83,10957.93,0.4823,40.1
250,30,0.01,1.0,45,9.56,0.93,-6.82,10956.17,0.4822,84.4
250,30,0.01,1.4,45,9.56,0.93,-6.82,10956.17,0.4822,39.0
250,30,0.04,1.4,20,9.09,0.92,-6.1,10908.62,0.4785,38.9
250,50,0.01,1.0,20,8.78,0.89,-6.28,10877.7,0.4618,78.8
250,50,0.01,1.6,20,8.78,0.89,-6.28,10877.7,0.4618,38.8
250,50,0.04,1.0,20,8.31,0.85,-6.43,10830.99,0.4397,38.3
250,70,0.022,1.6,60,8.22,0.83,-6.43,10821.52,0.4301,41.4
250,70,0.04,1.4,60,8.12,0.82,-6.43,10811.62,0.4249,83.9
250,70,0.022,1.0,45,7.81,0.79,-6.55,10780.8,0.4087,39.5
250,70,0.022,1.4,45,7.81,0.79,-6.55,10780.8,0.4087,41.2
250,70,0.01,1.6,20,7.2,0.74,-6.28,10719.86,0.3833,38.3
250,70,0.022,1.4,20,7.17,0.74,-6.27,10716.66,0.3831,87.5
250,70,0.04,1.6,20,6.79,0.71,-6.43,10678.95,0.3663,38.3
