risk_per_trade,regime_b_multiplier,max_hold_bars,vol_ceiling_pct,spy_ma_window,total_return_pct,sharpe,p5_return_pct,max_drawdown_pct,composite_score,elapsed_sec
0.014,0.5,20,0.17,160,13.46,1.7,-9.55,-3.45,0.9942,427.6
0.02,0.2,20,0.12,160,12.73,1.62,-13.77,-2.96,0.9499,562.3
0.008,0.5,30,0.22,160,12.48,1.6,-11.7,-3.37,0.946,405.0
0.02,0.2,20,0.17,160,12.73,1.62,-18.3,-2.96,0.9398,260.8
0.008,0.5,20,0.12,160,11.73,1.54,5.45,-2.85,0.9357,375.1
0.008,0.5,20,0.17,140,12.4,1.51,-4.37,-3.02,0.9286,890.9
0.02,0.5,30,0.17,160,12.44,1.59,-21.77,-3.2,0.9197,336.7
0.008,0.35,20,0.12,160,11.69,1.54,-12.86,-2.85,0.9169,256.0
0.014,0.5,30,0.22,160,11.68,1.51,-12.44,-3.12,0.9058,253.4
0.008,0.2,20,0.22,140,12.28,1.5,-13.54,-3.02,0.9011,339.7
0.02,0.35,20,0.12,140,11.73,1.45,-8.51,-3.08,0.8917,356.3
0.02,0.5,30,0.17,140,11.59,1.41,5.97,-3.31,0.8819,480.6
0.008,0.2,20,0.22,180,10.14,1.38,-0.23,-3.3,0.8817,258.4
0.008,0.5,20,0.17,180,10.27,1.39,-2.0,-3.3,0.8809,257.4
0.014,0.5,40,0.12,160,11.4,1.47,-15.95,-3.29,0.8809,271.4
0.008,0.2,20,0.22,160,11.61,1.53,-29.24,-2.85,0.879,235.1
0.014,0.35,20,0.12,140,11.31,1.4,-7.82,-3.14,0.8722,232.4
0.014,0.2,40,0.22,180,10.16,1.42,-10.09,-3.32,0.871,426.3
0.008,0.2,40,0.22,180,9.77,1.36,2.21,-3.06,0.8668,412.0
0.008,0.2,40,0.17,160,10.84,1.41,-13.42,-3.35,0.861,904.1
0.008,0.2,40,0.17,180,9.77,1.36,5.57,-3.06,0.8575,459.9
0.008,0.35,20,0.22,180,10.21,1.39,-10.86,-3.3,0.8572,614.0
0.014,0.5,30,0.22,140,10.73,1.31,-0.18,-3.69,0.8557,359.3
0.02,0.2,40,0.22,180,9.47,1.33,-2.19,-3.31,0.854,409.9
0.008,0.5,20,0.22,180,10.27,1.39,14.93,-3.3,0.8478,664.1
0.02,0.2,30,0.12,180,9.35,1.3,1.25,-3.2,0.8443,401.7
0.02,0.5,40,0.17,180,9.53,1.34,-8.36,-3.31,0.8414,254.5
0.008,0.5,20,0.12,180,10.27,1.39,-19.61,-3.3,0.8376,333.3
0.008,0.35,40,0.17,180,9.86,1.38,-17.75,-3.06,0.8364,279.5
0.02,0.2,40,0.17,140,10.16,1.26,1.34,-2.98,0.8305,516.2
0.014,0.5,20,0.22,180,9.97,1.36,19.79,-3.33,0.8243,356.5
0.008,0.5,30,0.22,180,9.36,1.3,-9.47,-3.37,0.8221,282.2
0.02,0.5,40,0.22,140,10.29,1.28,-16.96,-2.98,0.7994,338.4
0.02,0.2,30,0.22,180,9.35,1.3,-23.52,-3.2,0.7909,196.1
0.014,0.35,20,0.22,140,11.31,1.4,60.37,-3.14,0.781,697.1
0.014,0.35,40,0.17,140,9.2,1.14,-8.08,-3.29,0.7612,336.9
