benchmark_return_pct,chunk_pct,cofire_pct,crypto_signals,end_date,final_equity,halt_events,halt_liquidations,max_drawdown_pct,nyse_beta,nyse_signals,pause_days,resume_events,sharpe,sim_days,spy_exit,spy_fill,spy_ladder,spy_signals,start_date,total_orders,total_return_pct,variant,window
43.63,0.05,0.06,10,2026-05-22,9740.3,6,7,-24.8,False,26,0,5,0.05,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,32,2024-05-24,68,-2.6,baseline,500d
43.63,0.05,0.06,10,2026-05-22,9740.3,6,7,-24.8,False,26,0,5,0.05,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,32,2024-05-24,68,-2.6,spy_exit_off,500d
43.63,0.05,0.06,12,2026-05-22,9634.53,5,6,-24.68,False,30,0,4,0.03,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,100,2024-05-24,142,-3.65,spy_ladder,500d
43.63,0.05,0.06,10,2026-05-22,10132.67,3,4,-24.17,True,28,0,2,0.14,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,25,2024-05-24,63,1.33,nyse_beta,500d
43.63,0.05,0.05,11,2026-05-22,9704.46,6,7,-24.87,False,27,0,5,0.05,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,34,2024-05-24,72,-2.96,cofire_5,500d
43.63,0.05,0.08,10,2026-05-22,9781.16,5,6,-24.66,False,24,0,4,0.06,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,30,2024-05-24,64,-2.19,cofire_8,500d
43.63,0.04,0.06,12,2026-05-22,9766.95,5,6,-24.41,False,26,0,4,0.06,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,33,2024-05-24,71,-2.33,chunk_4,500d
43.63,0.06,0.06,10,2026-05-22,9618.83,5,6,-24.96,False,21,0,4,0.03,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,33,2024-05-24,64,-3.81,chunk_6,500d
43.63,0.07,0.06,10,2026-05-22,9583.23,5,6,-25.61,False,17,0,4,0.03,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,31,2024-05-24,58,-4.17,chunk_7,500d
43.63,0.05,0.05,11,2026-05-22,9704.46,6,7,-24.87,False,27,0,5,0.05,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,34,2024-05-24,72,-2.96,grid_e1_l0_b0_c5,500d
43.63,0.05,0.08,10,2026-05-22,9781.16,5,6,-24.66,False,24,0,4,0.06,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,30,2024-05-24,64,-2.19,grid_e1_l0_b0_c8,500d
43.63,0.05,0.05,10,2026-05-22,10054.33,3,4,-24.32,True,28,0,2,0.12,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,27,2024-05-24,65,0.54,grid_e1_l0_b1_c5,500d
43.63,0.05,0.06,10,2026-05-22,10132.67,3,4,-24.17,True,28,0,2,0.14,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,25,2024-05-24,63,1.33,grid_e1_l0_b1_c6,500d
43.63,0.05,0.08,10,2026-05-22,10501.31,4,5,-23.54,True,18,0,3,0.22,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,25,2024-05-24,53,5.01,grid_e1_l0_b1_c8,500d
43.63,0.05,0.05,13,2026-05-22,9626.15,6,7,-24.76,False,31,0,5,0.03,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,101,2024-05-24,145,-3.74,grid_e1_l1_b0_c5,500d
43.63,0.05,0.06,12,2026-05-22,9634.53,5,6,-24.68,False,30,0,4,0.03,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,100,2024-05-24,142,-3.65,grid_e1_l1_b0_c6,500d
43.63,0.05,0.08,11,2026-05-22,9663.73,5,6,-24.6,False,31,0,4,0.04,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,101,2024-05-24,143,-3.36,grid_e1_l1_b0_c8,500d
43.63,0.05,0.05,13,2026-05-22,10006.2,4,5,-24.54,True,40,0,3,0.11,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,98,2024-05-24,151,0.06,grid_e1_l1_b1_c5,500d
43.63,0.05,0.06,10,2026-05-22,10037.99,3,4,-24.33,True,39,0,2,0.11,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,69,2024-05-24,118,0.38,grid_e1_l1_b1_c6,500d
43.63,0.05,0.08,10,2026-05-22,10087.94,3,4,-23.97,True,39,0,2,0.13,728,True,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,71,2024-05-24,120,0.88,grid_e1_l1_b1_c8,500d
43.63,0.05,0.05,11,2026-05-22,9704.46,6,7,-24.87,False,27,0,5,0.05,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,34,2024-05-24,72,-2.96,grid_e0_l0_b0_c5,500d
43.63,0.05,0.06,10,2026-05-22,9740.3,6,7,-24.8,False,26,0,5,0.05,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,32,2024-05-24,68,-2.6,grid_e0_l0_b0_c6,500d
43.63,0.05,0.08,10,2026-05-22,9781.16,5,6,-24.66,False,24,0,4,0.06,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,30,2024-05-24,64,-2.19,grid_e0_l0_b0_c8,500d
43.63,0.05,0.05,10,2026-05-22,10054.33,3,4,-24.32,True,28,0,2,0.12,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,27,2024-05-24,65,0.54,grid_e0_l0_b1_c5,500d
43.63,0.05,0.06,10,2026-05-22,10132.67,3,4,-24.17,True,28,0,2,0.14,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,25,2024-05-24,63,1.33,grid_e0_l0_b1_c6,500d
43.63,0.05,0.08,10,2026-05-22,10501.31,4,5,-23.54,True,18,0,3,0.22,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",False,25,2024-05-24,53,5.01,grid_e0_l0_b1_c8,500d
43.63,0.05,0.05,13,2026-05-22,9626.15,6,7,-24.76,False,31,0,5,0.03,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,101,2024-05-24,145,-3.74,grid_e0_l1_b0_c5,500d
43.63,0.05,0.06,12,2026-05-22,9634.53,5,6,-24.68,False,30,0,4,0.03,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,100,2024-05-24,142,-3.65,grid_e0_l1_b0_c6,500d
43.63,0.05,0.08,11,2026-05-22,9663.73,5,6,-24.6,False,31,0,4,0.04,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,101,2024-05-24,143,-3.36,grid_e0_l1_b0_c8,500d
43.63,0.05,0.05,13,2026-05-22,10006.2,4,5,-24.54,True,40,0,3,0.11,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,98,2024-05-24,151,0.06,grid_e0_l1_b1_c5,500d
43.63,0.05,0.06,10,2026-05-22,10037.99,3,4,-24.33,True,39,0,2,0.11,728,False,"{'tracking': False, 'first_signal_cycle': None, 'spy_buys': 0, 'cycles_to_90pct': None, 'trades_to_90pct': None, 'hours_to_90pct': None, 'reached_90pct': False}",True,69,2024-05-24,118,0.38,grid_e0_l1_b1_c6,500d
