date,ticker,entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,hold_minutes,was_gap,was_cooldown
2026-04-13,GS,2026-04-10T15:55:00-04:00,2026-04-13T09:30:00-04:00,907.96,874.71,-3.6621,stop_loss,5.0,False,False
2026-04-13,KTOS,2026-04-10T15:55:00-04:00,2026-04-13T10:25:00-04:00,70.35,73.25,4.1222,take_profit,60.0,False,False
2026-04-14,COIN,2026-04-13T10:05:00-04:00,2026-04-14T09:30:00-04:00,171.6001,183.73,7.0687,take_profit,355.0,False,False
2026-04-14,CVX,2026-04-13T10:25:00-04:00,2026-04-14T09:35:00-04:00,190.44,185.644,-2.5184,stop_loss,340.0,False,False
2026-04-14,AMZN,2026-04-10T15:55:00-04:00,2026-04-14T11:35:00-04:00,238.36,248.13,4.0988,take_profit,520.0,False,False
2026-04-15,AMD,2026-04-14T10:05:00-04:00,2026-04-15T15:55:00-04:00,248.03,258.11,4.064,take_profit,740.0,False,False
2026-04-17,AAPL,2026-04-14T10:05:00-04:00,2026-04-17T11:00:00-04:00,260.255,271.409,4.2858,take_profit,1225.0,False,False
2026-04-21,BAC,2026-04-14T11:35:00-04:00,2026-04-21T11:35:00-04:00,53.495,53.965,0.8786,max_hold,1950.0,False,False
2026-04-22,AMD,2026-04-21T11:35:00-04:00,2026-04-22T10:25:00-04:00,281.57,295.1818,4.8343,take_profit,320.0,False,False
2026-04-22,GOOGL,2026-04-15T15:55:00-04:00,2026-04-22T15:55:00-04:00,337.15,339.37,0.6585,max_hold,1950.0,False,False
2026-04-24,GS,2026-04-17T11:00:00-04:00,2026-04-24T11:00:00-04:00,924.4999,921.03,-0.3753,max_hold,1950.0,False,False
2026-04-24,AMZN,2026-04-22T10:25:00-04:00,2026-04-24T13:45:00-04:00,253.195,263.34,4.0068,take_profit,980.0,False,False
2026-04-27,AAPL,2026-04-22T15:55:00-04:00,2026-04-27T09:30:00-04:00,273.19,266.15,-2.577,stop_loss,785.0,False,False
2026-04-27,CRM,2026-04-24T11:00:00-04:00,2026-04-27T09:45:00-04:00,174.92,182.73,4.4649,take_profit,315.0,False,False
2026-04-30,CRM,2026-04-27T10:05:00-04:00,2026-04-30T09:30:00-04:00,182.03,174.85,-3.9444,stop_loss,1135.0,False,False
2026-04-30,AMZN,2026-04-24T13:45:00-04:00,2026-04-30T11:40:00-04:00,263.34,256.65,-2.5404,stop_loss,1435.0,False,False
2026-05-01,AAPL,2026-04-30T10:05:00-04:00,2026-05-01T09:45:00-04:00,271.43,283.4275,4.4201,take_profit,370.0,False,False
2026-05-01,AMD,2026-04-30T11:40:00-04:00,2026-05-01T13:30:00-04:00,346.33,360.21,4.0077,take_profit,500.0,False,False
2026-05-04,BAC,2026-04-27T10:05:00-04:00,2026-05-04T10:05:00-04:00,52.7,52.42,-0.5313,max_hold,1950.0,False,False
2026-05-04,GS,2026-05-01T10:05:00-04:00,2026-05-04T11:15:00-04:00,930.87,906.35,-2.6341,stop_loss,460.0,False,False
2026-05-05,CRM,2026-05-04T11:15:00-04:00,2026-05-05T09:35:00-04:00,187.56,181.87,-3.0337,stop_loss,290.0,False,False
2026-05-08,GOOGL,2026-05-01T13:30:00-04:00,2026-05-08T09:45:00-04:00,385.245,400.68,4.0065,take_profit,1725.0,False,False
2026-05-11,AMZN,2026-05-04T10:05:00-04:00,2026-05-11T10:05:00-04:00,269.705,272.38,0.9918,max_hold,1950.0,False,False
