week_start,sector,etf,action,momentum_score,entry_price,exit_price,pnl_pct
2024-09-23,Utilities,XLU,buy,0.07232,38.0731,,
2024-09-23,Consumer Discretionary,XLY,buy,0.059669,97.1357,,
2024-10-07,Utilities,XLU,sell,0.07231985357081694,38.0731,38.5536,1.1608
2024-10-07,Consumer Discretionary,XLY,sell,0.05966860482447789,97.1357,96.9386,-0.3027
2024-10-07,Energy,XLE,buy,0.088332,44.2569,,
2024-10-07,Technology,XLK,buy,0.081453,110.9929,,
2024-10-21,Energy,XLE,sell,0.08833232755422316,44.2569,43.0406,-2.8456
2024-10-21,Financials,XLF,buy,0.039613,46.2874,,
2024-11-04,Technology,XLK,sell,0.08145278676978274,110.9929,110.9137,-0.1712
2024-11-04,Communication,XLC,buy,0.027102,90.7822,,
2024-11-11,Communication,XLC,sell,0.0271021803476883,90.7822,94.2505,3.7167
2024-11-11,Consumer Discretionary,XLY,buy,0.111528,107.6767,,
2024-11-18,Financials,XLF,sell,0.039612821631938466,46.2874,48.5949,4.8803
2024-11-18,Energy,XLE,buy,0.065727,45.1893,,
2024-11-25,Energy,XLE,sell,0.06572672610408459,45.1893,46.027,1.752
2024-11-25,Financials,XLF,buy,0.081551,49.666,,
2024-12-09,Financials,XLF,sell,0.08155061042021505,49.666,49.111,-1.2163
2024-12-09,Communication,XLC,buy,0.027033,98.7964,,
2024-12-23,Communication,XLC,sell,0.02703281054823936,98.7964,96.1948,-2.7306
2024-12-23,Technology,XLK,buy,0.020805,117.1083,,
2025-01-13,Consumer Discretionary,XLY,sell,0.11152756794843977,107.6767,108.1967,0.3825
2025-01-13,Technology,XLK,sell,0.020805124502288885,117.1083,111.5813,-4.8148
2025-01-13,Energy,XLE,buy,0.006716,42.3756,,
2025-01-13,Healthcare,XLV,buy,-0.000278,136.2106,,
2025-01-21,Healthcare,XLV,sell,-0.00027811433830482457,136.2106,137.3117,0.7076
2025-01-21,Utilities,XLU,buy,0.077757,38.2446,,
2025-01-27,Utilities,XLU,sell,0.07775677166854167,38.2446,37.362,-2.4054
2025-01-27,Healthcare,XLV,buy,0.059072,141.3846,,
2025-02-03,Energy,XLE,sell,0.00671621923077681,42.3756,41.8219,-1.4051
2025-02-03,Materials,XLB,buy,0.068141,42.7363,,
2025-02-10,Healthcare,XLV,sell,0.059072452267333375,141.3846,142.8462,0.9328
2025-02-10,Materials,XLB,sell,0.06814094713351104,42.7363,43.242,1.0822
2025-02-10,Financials,XLF,buy,0.086433,50.7578,,
