symbol,session_date,side,entry_ts,entry_price,stop,target,exit_ts,exit_price,exit_reason,minutes_since_open_at_entry,tod_bucket_at_entry,r_multiple,pnl_bps
RENDER/USD,2026-03-24,short,2026-03-24 00:30:00-04:00,1.7445,1.9012747045,1.572,2026-03-24 23:59:00-04:00,1.7787,eod,30,sneaky_window_15_45,-0.21814743717153676,-210.04471195184874
RENDER/USD,2026-03-28,long,2026-03-28 00:46:00-04:00,1.640005,1.59992648,1.879025842,2026-03-28 23:58:00-04:00,1.6777,eod,46,mid_morning_45_120,0.940528742079299,215.84686022298732
RENDER/USD,2026-04-03,short,2026-04-03 00:31:00-04:00,1.904685,1.919554645,1.697815,2026-04-03 02:41:00-04:00,1.919554645,stop,31,sneaky_window_15_45,-1.0,-92.06878827732722
RENDER/USD,2026-04-12,long,2026-04-12 01:51:00-04:00,1.915115,1.8544,2.1364842335,2026-04-12 08:52:00-04:00,2.1364842335,target,111,mid_morning_45_120,3.6460385983694423,1141.905694958267
RENDER/USD,2026-05-04,short,2026-05-04 00:46:00-04:00,1.867945,1.9409683125,1.75759,2026-05-04 06:32:00-04:00,1.75759,target,46,mid_morning_45_120,1.511229718591581,576.7829191972996
RENDER/USD,2026-05-12,long,2026-05-12 01:01:00-04:00,1.91154,1.899715,2.021163088,2026-05-12 03:06:00-04:00,1.899715,stop,61,mid_morning_45_120,-1.0,-75.86111721439245
RENDER/USD,2026-06-15,short,2026-06-15 02:14:00-04:00,1.82015,1.8753719585,1.7065,2026-06-15 23:59:00-04:00,1.78385,eod,134,midday_120_240,0.6573472036490701,185.4341125731396
RENDER/USD,2026-06-27,short,2026-06-27 00:50:00-04:00,1.624025,2.000378216,1.46372,2026-06-27 23:57:00-04:00,1.56002,eod,50,mid_morning_45_120,0.17006630282123078,380.1133911115906
RENDER/USD,2026-07-02,short,2026-07-02 00:30:00-04:00,1.54535,1.6026,1.492205,2026-07-02 09:25:00-04:00,1.6026,stop,30,sneaky_window_15_45,-1.0,-384.4662374219434
RENDER/USD,2026-07-13,long,2026-07-13 00:30:00-04:00,1.51694,1.492205,1.55956,2026-07-13 10:16:00-04:00,1.55956,target,30,sneaky_window_15_45,1.7230644835253763,266.9603543976697
RENDER/USD,2026-07-21,short,2026-07-21 01:10:00-04:00,1.5305,1.55667,1.46755,2026-07-21 01:33:00-04:00,1.55667,stop,70,mid_morning_45_120,-1.0,-184.98987259065683
RENDER/USD,2026-07-26,short,2026-07-26 01:01:00-04:00,1.48205,1.496245,1.43785,2026-07-26 20:01:00-04:00,1.496245,stop,61,mid_morning_45_120,-1.0,-109.7794946189397
RENDER/USD,2026-07-29,long,2026-07-29 00:35:00-04:00,1.38977,1.3884,1.43336,2026-07-29 04:27:00-04:00,1.3884,stop,35,sneaky_window_15_45,-1.0,-23.857746245780753
SOL/USD,2026-03-21,short,2026-03-21 01:52:00-04:00,89.9878,90.7245,88.107,2026-03-21 19:54:00-04:00,88.107,target,112,mid_morning_45_120,2.553006651282693,195.0061097170943
SOL/USD,2026-04-23,long,2026-04-23 00:59:00-04:00,86.16,84.3184,89.33,2026-04-23 23:59:00-04:00,85.713,eod,59,mid_morning_45_120,-0.24272371850564878,-65.88022284122596
SOL/USD,2026-05-09,short,2026-05-09 00:56:00-04:00,93.41,95.18340099,87.6764,2026-05-09 23:53:00-04:00,93.4095,eod,55,mid_morning_45_120,0.00028194413041485205,-13.946472540412977
SOL/USD,2026-05-28,long,2026-05-28 00:59:00-04:00,80.81,78.3846,84.675,2026-05-28 23:55:00-04:00,81.5209,eod,59,mid_morning_45_120,0.2931062917456899,73.97178567008974
SOL/USD,2026-06-05,long,2026-06-05 00:59:00-04:00,67.827,66.68865,73.04764,2026-06-05 01:44:00-04:00,66.68865,stop,59,mid_morning_45_120,-1.0,-181.83139457738108
