symbol,session_date,side,entry_ts,entry_price,stop,target,exit_ts,exit_price,exit_reason,minutes_since_open_at_entry,tod_bucket_at_entry,r_multiple,pnl_bps
AAPL,2026-01-29,short,2026-01-29 10:41:00-05:00,255.49,261.95,254.51,2026-01-29 10:50:00-05:00,254.51,target,71,mid_morning_45_120,0.15170278637771228,32.35766566206185
AAPL,2026-01-30,long,2026-01-30 10:00:00-05:00,256.39,249.8,259.65,2026-01-30 15:25:00-05:00,259.65,target,30,sneaky_window_15_45,0.4946889226100157,121.1500448535431
AAPL,2026-02-11,short,2026-02-11 10:15:00-05:00,275.77,278.2,272.94,2026-02-11 10:32:00-05:00,278.2,stop,45,mid_morning_45_120,-1.0,-94.11690901838514
AAPL,2026-02-13,long,2026-02-13 10:29:00-05:00,260.7,259.205,275.72,2026-02-13 10:46:00-05:00,259.205,stop,59,mid_morning_45_120,-1.0,-63.34560797851955
AAPL,2026-02-19,long,2026-02-19 11:21:00-05:00,264.35,255.54,266.82,2026-02-19 15:59:00-05:00,260.51,eod,111,mid_morning_45_120,-0.4358683314415458,-151.261963306224
AAPL,2026-02-20,long,2026-02-20 10:44:00-05:00,262.35,255.54,264.48,2026-02-20 11:51:00-05:00,264.48,target,74,mid_morning_45_120,0.3127753303964737,75.18925100057157
AAPL,2026-02-24,short,2026-02-24 10:07:00-05:00,273.63,275.72,263.381,2026-02-24 15:59:00-05:00,272.17,eod,37,sneaky_window_15_45,0.698564593301415,47.356722581587526
AAPL,2026-02-26,short,2026-02-26 10:01:00-05:00,273.45,275.72,271.05,2026-02-26 10:24:00-05:00,271.05,target,31,sneaky_window_15_45,1.0572687224669324,81.76741634668046
AAPL,2026-02-27,long,2026-02-27 10:00:00-05:00,271.3,267.71,276.11,2026-02-27 12:16:00-05:00,267.71,stop,30,sneaky_window_15_45,-1.0,-138.3258385551062
AAPL,2026-03-02,long,2026-03-02 10:00:00-05:00,263.39,258.16,272.81,2026-03-02 15:59:00-05:00,264.6,eod,30,sneaky_window_15_45,0.2313575525812706,39.939481377426496
AAPL,2026-03-05,long,2026-03-05 10:00:00-05:00,260.03,260.13,266.15,2026-03-05 10:01:00-05:00,260.13,stop,30,sneaky_window_15_45,,-2.154289889627245
AAPL,2026-03-06,long,2026-03-06 10:00:00-05:00,256.24,255.54,261.555,2026-03-06 10:08:00-05:00,255.54,stop,30,sneaky_window_15_45,-1.0,-33.31813924445898
AAPL,2026-03-09,long,2026-03-09 10:04:00-04:00,256.37,252.18,258.77,2026-03-09 15:20:00-04:00,258.77,target,34,sneaky_window_15_45,0.5727923627684913,87.61469750750778
AAPL,2026-03-17,short,2026-03-17 10:15:00-04:00,254.08,256.33,249.88,2026-03-17 15:59:00-04:00,254.23,eod,45,mid_morning_45_120,-0.06666666666665741,-11.903652392946208
AAPL,2026-03-24,long,2026-03-24 10:52:00-04:00,253.12,246.0,254.6,2026-03-24 11:50:00-04:00,254.6,target,82,mid_morning_45_120,0.20786516853932427,52.47029077117532
AAPL,2026-03-25,short,2026-03-25 10:00:00-04:00,251.82,254.94,249.55,2026-03-25 15:59:00-04:00,252.61,eod,30,sneaky_window_15_45,-0.2532051282051344,-37.37161464538244
AAPL,2026-03-26,long,2026-03-26 10:00:00-04:00,253.85,249.55,255.0,2026-03-26 10:14:00-04:00,255.0,target,30,sneaky_window_15_45,0.26744186046511864,39.30234390388047
AAPL,2026-04-01,short,2026-04-01 10:00:00-04:00,254.49,255.493,247.101,2026-04-01 15:27:00-04:00,255.493,stop,30,sneaky_window_15_45,-1.0,-45.41215764863004
AAPL,2026-04-02,long,2026-04-02 10:00:00-04:00,252.66,247.101,256.18,2026-04-02 15:59:00-04:00,255.89,eod,30,sneaky_window_15_45,0.5810397553516804,121.83978469088854
AAPL,2026-04-08,short,2026-04-08 10:30:00-04:00,258.0347,262.16,245.7,2026-04-08 15:59:00-04:00,258.91,eod,60,mid_morning_45_120,-0.21217850822971185,-39.921794239303416
AAPL,2026-04-09,short,2026-04-09 10:00:00-04:00,256.11,262.16,256.53,2026-04-09 10:01:00-04:00,256.53,target,30,sneaky_window_15_45,-0.06942148760329889,-22.399203467258562
AAPL,2026-04-14,short,2026-04-14 10:21:00-04:00,259.3501,262.19,256.66,2026-04-14 15:59:00-04:00,258.855,eod,51,mid_morning_45_120,0.17433712454663172,13.090025413523243
AAPL,2026-04-16,short,2026-04-16 10:06:00-04:00,262.02,272.81,257.81,2026-04-16 15:59:00-04:00,263.36,eod,36,sneaky_window_15_45,-0.1241890639481028,-57.14113426456118
AAPL,2026-04-17,short,2026-04-17 10:30:00-04:00,268.5024,272.81,261.27,2026-04-17 15:59:00-04:00,270.185,eod,60,mid_morning_45_120,-0.3906119416844618,-68.66610652269698
AAPL,2026-04-20,short,2026-04-20 10:32:00-04:00,273.21,272.81,266.72,2026-04-20 10:33:00-04:00,272.81,stop,62,mid_morning_45_120,,8.640752534679452
AAPL,2026-04-24,long,2026-04-24 10:19:00-04:00,272.07,266.87,275.77,2026-04-24 15:59:00-04:00,271.06,eod,49,mid_morning_45_120,-0.1942307692307679,-43.122799279596826
AAPL,2026-04-29,long,2026-04-29 10:02:00-04:00,269.56,265.07,273.23,2026-04-29 15:59:00-04:00,270.19,eod,32,sneaky_window_15_45,0.1403118040089074,17.37142009200161
AAPL,2026-05-01,short,2026-05-01 10:30:00-04:00,285.04,276.11,268.14,2026-05-01 10:31:00-04:00,276.11,stop,60,mid_morning_45_120,,307.2893628964358
AAPL,2026-05-20,short,2026-05-20 10:00:00-04:00,299.92,300.66,296.35,2026-05-20 12:51:00-04:00,300.66,stop,30,sneaky_window_15_45,-1.0,-30.673246198986696
AAPL,2026-05-29,short,2026-05-29 10:05:00-04:00,312.8801,313.26,309.57,2026-05-29 10:08:00-04:00,313.26,stop,35,sneaky_window_15_45,-1.0,-18.142031404361084
AAPL,2026-06-05,short,2026-06-05 10:06:00-04:00,312.97,316.94,309.65,2026-06-05 13:07:00-04:00,309.65,target,36,sneaky_window_15_45,0.8362720403022859,100.08045499568809
AAPL,2026-06-08,short,2026-06-08 10:15:00-04:00,310.58,316.94,307.15,2026-06-08 13:34:00-04:00,316.94,stop,45,mid_morning_45_120,-1.0,-210.77815699658748
AAPL,2026-06-10,long,2026-06-10 11:43:00-04:00,291.19,285.78,300.75,2026-06-10 15:59:00-04:00,291.48,eod,133,midday_120_240,0.05360443622920871,3.9591332119928726
AAPL,2026-06-12,short,2026-06-12 10:00:00-04:00,290.99,300.75,289.59,2026-06-12 15:59:00-04:00,291.07,eod,30,sneaky_window_15_45,-0.008196721311473787,-8.749235368912474
AAPL,2026-06-17,short,2026-06-17 10:35:00-04:00,299.222,300.75,293.97,2026-06-17 15:59:00-04:00,295.88,eod,65,mid_morning_45_120,2.187172774869071,105.68964848841277
AAPL,2026-06-22,short,2026-06-22 10:30:00-04:00,300.88,302.07,295.62,2026-06-22 15:59:00-04:00,296.79,eod,60,mid_morning_45_120,3.436974789915952,129.93459186386517
AAPL,2026-06-23,long,2026-06-23 10:26:00-04:00,299.99,295.62,302.42,2026-06-23 15:19:00-04:00,295.62,stop,56,mid_morning_45_120,-1.0,-151.67152238407962
AAPL,2026-06-24,long,2026-06-24 10:20:00-04:00,295.5,293.97,301.64,2026-06-24 15:55:00-04:00,293.97,stop,50,mid_morning_45_120,-1.0,-57.77664974619197
AAPL,2026-06-25,long,2026-06-25 10:02:00-04:00,279.94,291.7,299.7,2026-06-25 10:03:00-04:00,291.7,stop,32,sneaky_window_15_45,,414.0900192898475
AAPL,2026-06-29,short,2026-06-29 10:00:00-04:00,283.522,288.8,274.21,2026-06-29 15:59:00-04:00,281.63,eod,30,sneaky_window_15_45,0.3584691170898046,60.73203490381685
AAPL,2026-07-07,short,2026-07-07 10:01:00-04:00,311.1,317.4,307.0,2026-07-07 15:59:00-04:00,310.65,eod,31,sneaky_window_15_45,0.07142857142857917,8.46480231436983
AAPL,2026-07-08,long,2026-07-08 10:08:00-04:00,309.6401,307.0,315.48,2026-07-08 15:59:00-04:00,313.26,eod,38,sneaky_window_15_45,1.371122305973239,110.90669264090707
AAPL,2026-07-13,short,2026-07-13 10:16:00-04:00,320.51,317.4,312.17,2026-07-13 10:17:00-04:00,317.4,stop,46,mid_morning_45_120,,91.03285388911465
AAPL,2026-07-21,long,2026-07-21 10:15:00-04:00,326.16,317.32,333.71,2026-07-21 15:59:00-04:00,327.59,eod,45,mid_morning_45_120,0.1617647058823467,37.84351238655721
AAPL,2026-07-23,long,2026-07-23 10:31:00-04:00,321.93,322.2204,328.9995,2026-07-23 10:32:00-04:00,322.2204,stop,61,mid_morning_45_120,,3.0205945391848203
MSFT,2026-02-02,long,2026-02-02 10:00:00-05:00,429.7,421.02,439.6,2026-02-02 15:59:00-05:00,423.31,eod,30,sneaky_window_15_45,-0.7361751152073711,-154.7084012101463
MSFT,2026-02-05,long,2026-02-05 10:30:00-05:00,401.77,408.56,419.8,2026-02-05 10:31:00-05:00,408.56,stop,60,mid_morning_45_120,,163.00216541802575
MSFT,2026-02-10,short,2026-02-10 10:15:00-05:00,420.79,419.8,400.87,2026-02-10 10:16:00-05:00,419.8,stop,45,mid_morning_45_120,,17.527175075453528
MSFT,2026-02-17,long,2026-02-17 10:16:00-05:00,397.68,398.01,405.54,2026-02-17 10:17:00-05:00,398.01,stop,46,mid_morning_45_120,,2.2981291490641738
MSFT,2026-02-20,long,2026-02-20 10:52:00-05:00,399.27,396.32,404.43,2026-02-20 12:20:00-05:00,396.32,stop,82,mid_morning_45_120,-1.0,-79.88483983269438
MSFT,2026-02-23,long,2026-02-23 10:01:00-05:00,389.51,394.525,400.1159,2026-02-23 10:02:00-05:00,394.525,stop,31,sneaky_window_15_45,,122.75150830530632
MSFT,2026-02-26,short,2026-02-26 10:15:00-05:00,404.3822,404.43,390.16,2026-02-26 15:59:00-05:00,401.81,eod,45,mid_morning_45_120,53.811715481177174,57.608141011152554
MSFT,2026-02-27,long,2026-02-27 10:05:00-05:00,394.77,390.16,407.49,2026-02-27 15:50:00-05:00,390.16,stop,35,sneaky_window_15_45,-1.0,-122.77685741064309
MSFT,2026-03-02,short,2026-03-02 10:31:00-05:00,398.13,407.49,389.88,2026-03-02 15:59:00-05:00,398.37,eod,61,mid_morning_45_120,-0.025641025641026577,-12.028181749679982
MSFT,2026-03-06,short,2026-03-06 10:09:00-05:00,409.3,416.46,404.4,2026-03-06 15:59:00-05:00,408.62,eod,39,sneaky_window_15_45,0.09497206703910752,10.613730759834027
MSFT,2026-03-09,long,2026-03-09 10:03:00-04:00,406.01,404.4,413.05,2026-03-09 10:13:00-04:00,404.4,stop,33,sneaky_window_15_45,-1.0,-45.65419570946562
MSFT,2026-03-10,short,2026-03-10 10:00:00-04:00,404.54,413.05,403.5,2026-03-10 10:07:00-04:00,403.5,target,30,sneaky_window_15_45,0.1222091656874291,19.708211796114607
MSFT,2026-03-13,long,2026-03-13 10:30:00-04:00,401.7,401.59,406.12,2026-03-13 10:35:00-04:00,401.59,stop,60,mid_morning_45_120,-1.0,-8.738361961663273
MSFT,2026-03-17,short,2026-03-17 10:15:00-04:00,399.5401,404.8,394.79,2026-03-17 15:59:00-04:00,399.5,eod,45,mid_morning_45_120,0.007623719082110922,-4.996346048869804
MSFT,2026-03-20,long,2026-03-20 10:16:00-04:00,384.32,381.71,392.49,2026-03-20 14:40:00-04:00,381.71,stop,46,mid_morning_45_120,-1.0,-73.91215653622018
MSFT,2026-04-02,long,2026-04-02 10:00:00-04:00,366.18,363.07,373.99,2026-04-02 15:59:00-04:00,373.5,eod,30,sneaky_window_15_45,2.353697749196129,193.90168769457625
MSFT,2026-04-06,short,2026-04-06 10:39:00-04:00,371.69,373.99,364.15,2026-04-06 15:59:00-04:00,372.861,eod,69,mid_morning_45_120,-0.5091304347826028,-37.50474858080638
MSFT,2026-04-08,short,2026-04-08 10:49:00-04:00,378.3,373.73,366.56,2026-04-08 10:50:00-04:00,373.73,stop,79,mid_morning_45_120,,114.80359503039897
MSFT,2026-04-10,short,2026-04-10 11:33:00-04:00,371.1,385.0,367.05,2026-04-10 15:59:00-04:00,370.87,eod,123,midday_120_240,0.016546762589929393,0.19779035300507086
MSFT,2026-04-14,short,2026-04-14 10:00:00-04:00,389.79,385.0,371.02,2026-04-14 10:01:00-04:00,385.0,stop,30,sneaky_window_15_45,,116.88668257266785
MSFT,2026-04-16,short,2026-04-16 10:00:00-04:00,412.2808,416.46,396.73,2026-04-16 11:15:00-04:00,416.46,stop,30,sneaky_window_15_45,-1.0,-107.36780563150117
MSFT,2026-04-17,short,2026-04-17 10:07:00-04:00,423.95,423.68,412.14,2026-04-17 10:08:00-04:00,423.68,stop,37,sneaky_window_15_45,,0.36867555136176033
MSFT,2026-04-20,long,2026-04-20 10:00:00-04:00,420.61,412.14,431.58,2026-04-20 15:59:00-04:00,418.08,eod,30,sneaky_window_15_45,-0.29870129870130124,-66.15073345854901
MSFT,2026-04-23,long,2026-04-23 10:43:00-04:00,419.69,417.2,433.7,2026-04-23 12:33:00-04:00,417.2,stop,73,mid_morning_45_120,-1.0,-65.32950511091542
MSFT,2026-05-01,short,2026-05-01 10:04:00-04:00,411.975,426.82,398.01,2026-05-01 15:59:00-04:00,414.51,eod,34,sneaky_window_15_45,-0.17076456719433972,-67.53286000364022
MSFT,2026-05-04,short,2026-05-04 10:00:00-04:00,415.54,426.82,410.435,2026-05-04 15:59:00-04:00,413.7,eod,30,sneaky_window_15_45,0.16312056737588973,38.27973239640063
MSFT,2026-05-06,long,2026-05-06 10:00:00-04:00,410.68,398.01,416.7799,2026-05-06 10:32:00-04:00,416.7799,target,30,sneaky_window_15_45,0.48144435674822283,142.5317035161194
MSFT,2026-05-07,short,2026-05-07 10:16:00-04:00,422.68,420.78,405.11,2026-05-07 10:17:00-04:00,420.78,stop,46,mid_morning_45_120,,38.95126336708702
MSFT,2026-05-08,long,2026-05-08 10:22:00-04:00,417.52,405.11,427.98,2026-05-08 15:59:00-04:00,415.16,eod,52,mid_morning_45_120,-0.19016921837227743,-62.524238359838016
MSFT,2026-05-11,long,2026-05-11 10:10:00-04:00,410.46,405.11,418.63,2026-05-11 15:59:00-04:00,412.69,eod,40,sneaky_window_15_45,0.4168224299065481,48.32928909028939
MSFT,2026-05-13,long,2026-05-13 10:02:00-04:00,402.95,405.5,415.5,2026-05-13 10:03:00-04:00,405.5,stop,32,sneaky_window_15_45,,57.28328576746523
MSFT,2026-05-14,long,2026-05-14 10:09:00-04:00,404.3199,398.01,406.31,2026-05-14 10:21:00-04:00,406.31,target,39,sneaky_window_15_45,0.31539327089176933,43.220926301178444
MSFT,2026-05-19,short,2026-05-19 10:15:00-04:00,425.33,428.17,415.61,2026-05-19 15:59:00-04:00,417.6,eod,45,mid_morning_45_120,2.721830985915449,175.74123621658387
MSFT,2026-05-20,long,2026-05-20 10:16:00-04:00,414.81,415.61,432.7,2026-05-20 10:17:00-04:00,415.61,stop,46,mid_morning_45_120,,13.28593814035369
MSFT,2026-05-21,short,2026-05-21 10:04:00-04:00,418.0,432.7,411.3001,2026-05-21 15:59:00-04:00,419.1,eod,34,sneaky_window_15_45,-0.07482993197279073,-32.31578947368476
MSFT,2026-05-26,long,2026-05-26 10:00:00-04:00,417.77,415.71,424.4,2026-05-26 10:49:00-04:00,415.71,stop,30,sneaky_window_15_45,-1.0,-55.30942863297993
MSFT,2026-05-27,long,2026-05-27 10:16:00-04:00,413.69,411.3001,419.77,2026-05-27 13:23:00-04:00,411.3001,stop,46,mid_morning_45_120,-1.0,-63.77031110251666
MSFT,2026-05-28,short,2026-05-28 10:30:00-04:00,425.24,419.77,409.58,2026-05-28 10:31:00-04:00,419.77,stop,60,mid_morning_45_120,,122.63324240428997
MSFT,2026-05-29,short,2026-05-29 10:15:00-04:00,440.0201,432.7,412.67,2026-05-29 10:16:00-04:00,432.7,stop,45,mid_morning_45_120,,160.35830954086015
MSFT,2026-06-01,short,2026-06-01 10:32:00-04:00,460.115,483.74,432.36,2026-06-01 15:59:00-04:00,460.49,eod,62,mid_morning_45_120,-0.015873015873015872,-14.15013637894874
MSFT,2026-06-02,long,2026-06-02 10:15:00-04:00,447.39,432.36,466.32,2026-06-02 15:59:00-04:00,441.29,eod,45,mid_morning_45_120,-0.4058549567531588,-142.34636446947778
MSFT,2026-06-03,long,2026-06-03 10:15:00-04:00,432.536,432.36,453.5,2026-06-03 10:16:00-04:00,432.36,stop,45,mid_morning_45_120,-1.0,-10.069025468400035
MSFT,2026-06-08,long,2026-06-08 10:31:00-04:00,413.33,412.67,429.47,2026-06-08 10:35:00-04:00,412.67,stop,61,mid_morning_45_120,-1.0,-21.967870708633978
MSFT,2026-06-10,long,2026-06-10 10:01:00-04:00,404.98,398.01,411.98,2026-06-10 15:48:00-04:00,398.01,stop,31,sneaky_window_15_45,-1.0,-178.10726455627503
MSFT,2026-06-11,long,2026-06-11 10:02:00-04:00,393.0499,396.73,405.04,2026-06-11 10:03:00-04:00,396.73,stop,32,sneaky_window_15_45,,87.62933306941534
MSFT,2026-06-12,long,2026-06-12 10:10:00-04:00,384.5,371.02,396.85,2026-06-12 15:59:00-04:00,390.67,eod,40,sneaky_window_15_45,0.45771513353115784,154.46814044213306
MSFT,2026-06-15,short,2026-06-15 10:15:00-04:00,397.63,396.85,382.27,2026-06-15 10:16:00-04:00,396.85,stop,45,mid_morning_45_120,,13.616226139878094
MSFT,2026-06-18,long,2026-06-18 10:01:00-04:00,376.5,371.02,390.37,2026-06-18 15:59:00-04:00,379.05,eod,31,sneaky_window_15_45,0.4653284671532852,61.72908366533895
