date,ticker,side,entry_time,exit_time,entry_price,exit_price,stop,target,shares,pnl,pnl_pct,r_multiple,exit_reason,confirm_idx,entry_idx
2026-04-23,NVDA,short,2026-04-23 10:15:00-04:00,2026-04-23 10:15:00-04:00,202.01,202.75,202.75,199.0,49.50249987624375,-36.631849908420826,-0.00036631849908420823,-0.036631849908420826,stop,2,3
2026-04-24,BRK.B,long,2026-04-24 10:00:00-04:00,2026-04-24 15:45:00-04:00,469.67,469.31,464.62,473.0,21.283745640575635,-7.662148430607519,-7.664956245875053e-05,-0.0076649562458750535,eod,1,2
2026-04-27,IWM,short,2026-04-27 10:15:00-04:00,2026-04-27 15:45:00-04:00,277.0,277.11,279.79,274.23,36.085092419372195,-3.969360166131434,-3.9711191335745004e-05,-0.0039711191335745,eod,2,3
2026-04-28,BRK.B,short,2026-04-28 14:15:00-04:00,2026-04-28 14:15:00-04:00,476.0,476.04,476.04,469.35,20.998264000314048,-0.8399305600129916,-8.403361344542115e-06,-0.0008403361344542116,stop,2,19
2026-04-29,AAPL,long,2026-04-29 10:00:00-04:00,2026-04-29 15:45:00-04:00,269.56,270.19,265.07,273.23,37.07927612069106,23.359943956035202,0.00023371420092001613,0.02337142009200161,eod,1,2
2026-04-30,SPY,short,2026-04-30 10:00:00-04:00,2026-04-30 10:45:00-04:00,710.78,712.88,712.88,708.37,14.065429057498926,-29.537401020748064,-0.00029545006893835264,-0.029545006893835258,stop,1,2
2026-04-30,QQQ,short,2026-04-30 10:00:00-04:00,2026-04-30 13:00:00-04:00,658.6,664.43,664.43,656.5899,15.175329373499869,-88.47217024750313,-0.0008852110537503686,-0.08852110537503687,stop,1,2
2026-04-30,BRK.B,long,2026-04-30 10:00:00-04:00,2026-04-30 15:45:00-04:00,476.135,473.97,469.35,477.97,20.97225515528634,-45.40493241119417,-0.0004547029728963348,-0.045470297289633484,eod,1,2
2026-05-04,MSFT,short,2026-05-04 10:00:00-04:00,2026-05-04 15:45:00-04:00,415.54,413.7,426.82,410.435,24.019550982146463,44.19597380715025,0.00044279732396400627,0.04427973239640062,eod,1,2
2026-05-04,BRK.B,long,2026-05-04 10:00:00-04:00,2026-05-04 10:15:00-04:00,474.63,479.1,470.89,479.1,21.038501174603073,94.04210025047631,0.0009417862334871432,0.09417862334871431,target,1,2
2026-05-05,SPY,short,2026-05-05 10:15:00-04:00,2026-05-05 15:00:00-04:00,722.14,724.87,724.87,714.99,13.840679123891357,-37.78505400822366,-0.00037804303874595214,-0.03780430387459521,stop,2,3
2026-05-06,MSFT,long,2026-05-06 10:00:00-04:00,2026-05-06 10:30:00-04:00,410.68,416.7799,398.01,416.7799,24.32825927029824,148.39994872289202,0.001485317035161194,0.1485317035161194,target,1,2
2026-05-07,MSFT,short,2026-05-07 10:15:00-04:00,2026-05-07 10:15:00-04:00,422.68,420.78,420.78,405.11,23.672682672467044,44.97809707768819,0.0004495126336708702,0.044951263367087026,stop,1,3
2026-05-07,BRK.B,short,2026-05-07 10:15:00-04:00,2026-05-07 15:45:00-04:00,471.92,475.1,479.87,465.64,21.212212497258303,-67.45483574128154,-0.0006738430242413982,-0.06738430242413983,eod,1,3
2026-05-08,MSFT,long,2026-05-08 10:15:00-04:00,2026-05-08 15:45:00-04:00,417.52,415.16,405.11,427.98,23.959862612885637,-56.54527576640907,-0.0005652423835983803,-0.056524238359838025,eod,2,3
2026-05-08,NVDA,short,2026-05-08 10:15:00-04:00,2026-05-08 10:15:00-04:00,215.68,214.73,214.73,206.5,46.356024251462216,44.038223038889896,0.00044046735905045305,0.044046735905045306,stop,2,3
2026-05-11,MSFT,long,2026-05-11 10:00:00-04:00,2026-05-11 15:45:00-04:00,410.46,412.69,405.11,418.63,24.36893030468075,54.342714579438514,0.000543292890902894,0.05432928909028939,eod,1,2
2026-05-11,IWM,short,2026-05-11 10:30:00-04:00,2026-05-11 15:45:00-04:00,286.43,285.38,287.58,282.61,34.940143854754055,36.68715104749216,0.00036658171280941646,0.03665817128094165,eod,3,4
2026-05-11,BRK.B,short,2026-05-11 11:45:00-04:00,2026-05-11 15:45:00-04:00,478.3,479.59,479.87,474.48,20.93157875689306,-27.001736596391286,-0.00026970520593768836,-0.026970520593768837,eod,2,9
2026-05-12,IWM,long,2026-05-12 15:30:00-04:00,2026-05-12 15:30:00-04:00,282.22,282.61,282.61,287.05,35.46479323138797,13.831269360240825,0.00013819006448869192,0.013819006448869192,stop,2,24
2026-05-13,MSFT,long,2026-05-13 10:00:00-04:00,2026-05-13 10:00:00-04:00,402.95,405.5,405.5,415.5,24.842429762249257,63.348195893735884,0.0006328328576746524,0.06328328576746524,stop,1,2
2026-05-14,MSFT,long,2026-05-14 10:00:00-04:00,2026-05-14 10:15:00-04:00,404.3199,406.31,398.01,406.31,24.77392750712421,49.302593131927495,0.0004922092630117845,0.04922092630117845,target,1,2
2026-05-14,IWM,short,2026-05-14 10:30:00-04:00,2026-05-14 10:45:00-04:00,282.67,284.06,284.06,279.93,35.45308009905863,-49.27978133769101,-0.0004917394842041909,-0.049173948420419084,stop,3,4
2026-05-15,IWM,long,2026-05-15 10:00:00-04:00,2026-05-15 10:00:00-04:00,279.17,279.93,279.93,285.655,35.87990892096978,27.268730779936707,0.00027223555539635023,0.027223555539635024,stop,1,2
2026-05-18,BRK.B,long,2026-05-18 10:00:00-04:00,2026-05-18 10:00:00-04:00,484.41,481.5001,481.5001,488.3,20.683555348867955,-60.1870777096719,-0.000600710142234894,-0.06007101422348939,stop,1,2
2026-05-19,MSFT,short,2026-05-19 10:15:00-04:00,2026-05-19 15:45:00-04:00,425.33,417.6,428.17,415.61,23.542431379808995,181.98299456592264,0.001817412362165839,0.1817412362165839,eod,2,3
2026-05-19,IWM,long,2026-05-19 11:45:00-04:00,2026-05-19 11:45:00-04:00,272.81,272.44,272.44,279.08,36.771015132255975,-13.605275598934877,-0.00013562552692350155,-0.013562552692350153,stop,1,9
2026-05-20,QQQ,short,2026-05-20 10:00:00-04:00,2026-05-20 11:15:00-04:00,704.66,712.07,712.07,695.25,14.234013723882239,-105.47404169396856,-0.0010515709703970827,-0.10515709703970827,stop,1,2
2026-05-20,AAPL,short,2026-05-20 10:00:00-04:00,2026-05-20 12:45:00-04:00,299.92,300.66,300.66,296.35,33.407551035280946,-24.721587766108204,-0.00024673246198986704,-0.0246732461989867,stop,1,2
2026-05-20,MSFT,long,2026-05-20 10:15:00-04:00,2026-05-20 10:15:00-04:00,414.81,415.61,415.61,432.7,24.148695903485574,19.318956722788734,0.0001928593814035369,0.019285938140353693,stop,1,3
2026-05-21,MSFT,short,2026-05-21 10:00:00-04:00,2026-05-21 15:45:00-04:00,418.0,419.1,432.7,411.3001,23.96902498420366,-26.36592748262457,-0.0002631578947368476,-0.02631578947368476,eod,1,2
2026-05-21,BRK.B,long,2026-05-21 10:00:00-04:00,2026-05-21 15:45:00-04:00,478.08,479.98,475.9,482.72,20.951338375687893,39.80754291380771,0.0003974230254350808,0.03974230254350808,eod,1,2
2026-05-21,NVDA,short,2026-05-21 10:15:00-04:00,2026-05-21 10:15:00-04:00,221.31,220.495,230.0,220.495,45.27764947331909,36.901284320754954,0.0003682617143373538,0.036826171433735386,target,1,3
2026-05-22,QQQ,short,2026-05-22 10:00:00-04:00,2026-05-22 13:30:00-04:00,718.2017,722.03,722.03,706.77,13.957202737576818,-53.43235924026551,-0.0005330396739523192,-0.05330396739523192,stop,1,2
2026-05-22,SPY,short,2026-05-22 10:15:00-04:00,2026-05-22 15:45:00-04:00,745.29,745.59,749.53,737.03,13.442745102508148,-4.032823530753362,-4.0252787505543916e-05,-0.004025278750554391,eod,2,3
2026-05-22,IWM,short,2026-05-22 10:15:00-04:00,2026-05-22 13:15:00-04:00,284.12,285.655,285.655,277.15,35.26094683617916,-54.125553393533885,-0.0005402646768970746,-0.05402646768970746,stop,2,3
2026-05-22,BRK.B,short,2026-05-22 10:15:00-04:00,2026-05-22 10:15:00-04:00,482.2381,482.72,482.72,475.5,20.76345203698312,-10.005907536623264,-9.992988940526536e-05,-0.009992988940526536,stop,2,3
2026-05-26,MSFT,long,2026-05-26 10:00:00-04:00,2026-05-26 10:45:00-04:00,417.77,415.71,415.71,424.4,23.965165208134156,-49.368240328756414,-0.0004930942863297993,-0.04930942863297993,stop,1,2
2026-05-26,BRK.B,short,2026-05-26 10:00:00-04:00,2026-05-26 15:45:00-04:00,484.0,483.6,488.13,479.49,20.675599679688702,8.270239871875011,8.264462809916888e-05,0.008264462809916887,eod,1,2
2026-05-26,NVDA,long,2026-05-26 10:15:00-04:00,2026-05-26 11:00:00-04:00,216.28,213.89,213.89,221.01,46.27250448010226,-110.5912857074451,-0.001105049010541897,-0.11050490105418971,stop,2,3
2026-05-26,IWM,short,2026-05-26 10:30:00-04:00,2026-05-26 10:30:00-04:00,289.39,287.05,287.05,283.67,34.54424182033164,80.83352585957518,0.000808597394519498,0.0808597394519498,stop,3,4
2026-05-27,MSFT,long,2026-05-27 10:15:00-04:00,2026-05-27 13:15:00-04:00,413.69,411.3001,411.3001,419.77,24.184392885909087,-57.798280558034406,-0.0005777031110251665,-0.05777031110251666,stop,2,3
