date,ticker,side,entry_time,exit_time,entry_price,exit_price,stop,target,shares,pnl,pnl_pct,r_multiple,exit_reason,confirm_idx,entry_idx
2026-04-24,BRK.B,long,2026-04-24 10:00:00-04:00,2026-04-24 15:45:00-04:00,469.67,469.31,464.62,473.0,21.291545127429895,-7.664956245875053,-7.664956245875053e-05,-0.007664956245875053,eod,1,2
2026-04-29,AAPL,long,2026-04-29 10:00:00-04:00,2026-04-29 15:45:00-04:00,269.56,270.19,265.07,273.23,37.094648702980464,23.369628682877522,0.00023371420092001613,0.023371420092001615,eod,1,2
2026-04-30,SPY,short,2026-04-30 10:00:00-04:00,2026-04-30 10:45:00-04:00,710.78,712.88,712.88,708.37,14.07126040018529,-29.54964684038943,-0.00029545006893835264,-0.02954500689383526,stop,1,2
2026-04-30,QQQ,short,2026-04-30 10:00:00-04:00,2026-04-30 13:00:00-04:00,658.6,664.43,664.43,656.5899,15.181620866321989,-88.50884965065609,-0.0008852110537503685,-0.08852110537503687,stop,1,2
2026-04-30,BRK.B,long,2026-04-30 10:00:00-04:00,2026-04-30 15:45:00-04:00,476.135,473.97,469.35,477.97,20.980949977621048,-45.423756701548804,-0.0004547029728963348,-0.045470297289633484,eod,1,2
2026-05-04,MSFT,short,2026-05-04 10:00:00-04:00,2026-05-04 15:45:00-04:00,415.54,413.7,426.82,410.435,24.029509173423598,44.21429687910018,0.0004427973239640063,0.04427973239640063,eod,1,2
2026-05-04,BRK.B,long,2026-05-04 10:00:00-04:00,2026-05-04 10:15:00-04:00,474.63,479.1,470.89,479.1,21.04722346166983,94.08108887366471,0.000941786233487143,0.09417862334871431,target,1,2
2026-05-06,MSFT,long,2026-05-06 10:00:00-04:00,2026-05-06 10:30:00-04:00,410.68,416.7799,398.01,416.7799,24.34754986972757,148.517619450351,0.0014853170351611942,0.1485317035161194,target,1,2
2026-05-07,MSFT,short,2026-05-07 10:15:00-04:00,2026-05-07 10:15:00-04:00,422.68,420.78,420.78,405.11,23.691453445738507,45.01376154690397,0.0004495126336708702,0.044951263367087026,stop,1,3
2026-05-07,BRK.B,short,2026-05-07 10:15:00-04:00,2026-05-07 15:45:00-04:00,471.92,475.1,479.87,465.64,21.2290322906413,-67.50832268423947,-0.0006738430242413983,-0.06738430242413983,eod,1,3
2026-05-11,MSFT,long,2026-05-11 10:00:00-04:00,2026-05-11 15:45:00-04:00,410.46,412.69,405.11,418.63,24.391302651491056,54.3926049128255,0.0005432928909028939,0.05432928909028939,eod,1,2
2026-05-13,MSFT,long,2026-05-13 10:00:00-04:00,2026-05-13 10:00:00-04:00,402.95,405.5,405.5,415.5,24.859395326522648,63.39145808263304,0.0006328328576746524,0.06328328576746524,stop,1,2
2026-05-14,MSFT,long,2026-05-14 10:00:00-04:00,2026-05-14 10:15:00-04:00,404.3199,406.31,398.01,406.31,24.79084628936286,49.336263200460635,0.0004922092630117845,0.04922092630117845,target,1,2
2026-05-15,IWM,long,2026-05-15 10:00:00-04:00,2026-05-15 10:00:00-04:00,279.17,279.93,279.93,285.655,35.92207658040122,27.3007782011046,0.0002722355553963502,0.027223555539635017,stop,1,2
2026-05-18,BRK.B,long,2026-05-18 10:00:00-04:00,2026-05-18 10:00:00-04:00,484.41,481.5001,481.5001,488.3,20.70786357996474,-60.25781223134044,-0.000600710142234894,-0.0600710142234894,stop,1,2
2026-05-19,IWM,long,2026-05-19 11:45:00-04:00,2026-05-19 11:45:00-04:00,272.81,272.44,272.44,279.08,36.7474447987522,-13.59655457553848,-0.00013562552692350155,-0.013562552692350155,stop,1,9
2026-05-20,QQQ,short,2026-05-20 10:00:00-04:00,2026-05-20 11:15:00-04:00,704.66,712.07,712.07,695.25,14.224889677418947,-105.40643250967555,-0.0010515709703970827,-0.10515709703970827,stop,1,2
2026-05-20,AAPL,short,2026-05-20 10:00:00-04:00,2026-05-20 12:45:00-04:00,299.92,300.66,300.66,296.35,33.38613669258157,-24.70574115251067,-0.000246732461989867,-0.0246732461989867,stop,1,2
2026-05-20,MSFT,long,2026-05-20 10:15:00-04:00,2026-05-20 10:15:00-04:00,414.81,415.61,415.61,432.7,24.13321651532946,19.306573212263842,0.00019285938140353688,0.019285938140353686,stop,1,3
2026-05-21,MSFT,short,2026-05-21 10:00:00-04:00,2026-05-21 15:45:00-04:00,418.0,419.1,432.7,411.3001,23.953660765657993,-26.349026842224337,-0.0002631578947368476,-0.026315789473684754,eod,1,2
2026-05-21,BRK.B,long,2026-05-21 10:00:00-04:00,2026-05-21 15:45:00-04:00,478.08,479.98,475.9,482.72,20.93790850351577,39.78202615668068,0.0003974230254350808,0.03974230254350808,eod,1,2
2026-05-21,NVDA,short,2026-05-21 10:15:00-04:00,2026-05-21 10:15:00-04:00,221.31,220.495,230.0,220.495,45.24862636110654,36.877630484301726,0.00036826171433735385,0.036826171433735386,target,1,3
2026-05-22,QQQ,short,2026-05-22 10:00:00-04:00,2026-05-22 13:30:00-04:00,718.2017,722.03,722.03,706.77,13.948256127804932,-53.3981089340758,-0.0005330396739523192,-0.05330396739523192,stop,1,2
2026-05-26,MSFT,long,2026-05-26 10:00:00-04:00,2026-05-26 10:45:00-04:00,417.77,415.71,415.71,424.4,23.966109227880196,-49.37018500943326,-0.0004930942863297992,-0.04930942863297992,stop,1,2
2026-05-26,BRK.B,short,2026-05-26 10:00:00-04:00,2026-05-26 15:45:00-04:00,484.0,483.6,488.13,479.49,20.676414119071417,8.270565647628096,8.264462809916886e-05,0.008264462809916885,eod,1,2
