event,event_date,fights,accuracy,log_loss,brier_score,fights_with_odds,avg_best_edge
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,7,1.0,,0.0002306935622350861,0,
UFC 297: Strickland vs. Du Plessis,2024-01-20,10,1.0,,0.0003622247811843269,0,
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,7,1.0,,0.0005314463774763938,0,
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,8,0.875,0.27935227097723414,0.09735295496819539,0,
UFC 298: Volkanovski vs. Topuria,2024-02-17,8,1.0,,0.00041942007103049615,0,
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,9,1.0,,0.00019228587429583898,0,
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,6,1.0,,0.00037573070949115664,0,
UFC 299: O'Malley vs. Vera 2,2024-03-09,11,1.0,,0.00027332757620573495,0,
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,9,0.8888888888888888,0.5722256772466242,0.10986447848572513,0,
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,8,1.0,,0.0006076528506193377,0,
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,9,1.0,,0.0008232401053270096,0,
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,5,1.0,,0.0002704406419648194,0,
UFC 300: Pereira vs. Hill,2024-04-13,12,1.0,,0.0007819013919102661,0,
UFC Fight Night: Nicolau vs. Perez,2024-04-27,7,1.0,,0.000366397154853018,0,
UFC 301: Pantoja vs. Erceg,2024-05-04,9,1.0,,0.00024462758861784834,0,
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,10,1.0,,0.00048816016484629727,0,
UFC Fight Night: Barboza vs. Murphy,2024-05-18,10,1.0,,0.00025380271050692523,0,
UFC 302: Makhachev vs. Poirier,2024-06-01,9,1.0,,0.00024822153529685715,0,
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,9,1.0,,0.00024700664140299465,0,
UFC Fight Night: Perez vs. Taira,2024-06-15,7,1.0,,0.00028764001216159804,0,
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,7,1.0,,0.0006139460445896824,0,
UFC 303: Pereira vs. Prochazka 2,2024-06-29,8,1.0,,0.00029850093067582687,0,
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,10,0.9,0.4755719822877812,0.09840740803231551,0,
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,7,1.0,,0.0004084645606260255,0,
UFC 304: Edwards vs. Muhammad 2,2024-07-27,11,1.0,,0.0002968218583353299,0,
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,9,1.0,,0.0011337793140682585,0,
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,5,1.0,,0.0015057281226203572,0,
UFC 305: Du Plessis vs. Adesanya,2024-08-17,8,1.0,,0.0009248472840956294,0,
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,5,1.0,,0.00023232605986982244,0,
UFC Fight Night: Burns vs. Brady,2024-09-07,6,1.0,,0.00015289788546024057,0,
UFC 306: Riyadh Season Noche UFC,2024-09-14,9,1.0,,0.0005142242504553166,0,
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,9,1.0,,0.000310168569519495,0,
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,10,1.0,,0.00028518213093097606,0,
UFC Fight Night: Royval vs. Taira,2024-10-12,7,1.0,,0.0004208465578458709,0,
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,7,1.0,,0.0005556846483094966,0,
UFC 308: Topuria vs. Holloway,2024-10-26,9,1.0,,0.0003428491758657232,0,
UFC Fight Night: Moreno vs. Albazi,2024-11-02,11,1.0,,0.00015620499122569032,0,
UFC Fight Night: Magny vs. Prates,2024-11-09,5,1.0,,0.00011232923416823202,0,
UFC 309: Jones vs. Miocic,2024-11-16,7,1.0,,0.0005025498685909947,0,
UFC Fight Night: Yan vs. Figueiredo,2024-11-23,5,1.0,,0.00032526001988251947,0,
UFC 310: Pantoja vs. Asakura,2024-12-07,13,1.0,,0.0011029584760545734,0,
