strategy,month,position,fwd_return,pnl
buy_hold,2017-01-01,1.0,0.03929154848150396,0.03929154848150396
price_math_only,2017-01-01,1.0,0.03929154848150396,0.03929154848150396
web_sentiment_only,2017-01-01,0.0,0.03929154848150396,0.0
wisdom_aligned,2017-01-01,0.5,0.03929154848150396,0.01964577424075198
arbitrage_trust_price,2017-01-01,0.5,0.03929154848150396,0.01964577424075198
buy_hold,2017-02-01,1.0,0.0012501432167715265,0.0012501432167715265
price_math_only,2017-02-01,1.0,0.0012501432167715265,0.0012501432167715265
web_sentiment_only,2017-02-01,0.0,0.0012501432167715265,0.0
wisdom_aligned,2017-02-01,0.5,0.0012501432167715265,0.0006250716083857633
arbitrage_trust_price,2017-02-01,1.0,0.0012501432167715265,0.0012501432167715265
buy_hold,2017-03-01,1.0,0.009925882267055819,0.009925882267055819
price_math_only,2017-03-01,0.0,0.009925882267055819,0.0
web_sentiment_only,2017-03-01,0.0,0.009925882267055819,0.0
wisdom_aligned,2017-03-01,0.0,0.009925882267055819,0.0
arbitrage_trust_price,2017-03-01,0.0,0.009925882267055819,0.0
buy_hold,2017-04-01,1.0,0.01411287953253293,0.01411287953253293
price_math_only,2017-04-01,1.0,0.01411287953253293,0.01411287953253293
web_sentiment_only,2017-04-01,1.0,0.01411287953253293,0.01411287953253293
wisdom_aligned,2017-04-01,1.0,0.01411287953253293,0.01411287953253293
arbitrage_trust_price,2017-04-01,1.0,0.01411287953253293,0.01411287953253293
buy_hold,2017-05-01,1.0,0.006374960251701145,0.006374960251701145
price_math_only,2017-05-01,1.0,0.006374960251701145,0.006374960251701145
web_sentiment_only,2017-05-01,0.0,0.006374960251701145,0.0
wisdom_aligned,2017-05-01,0.5,0.006374960251701145,0.0031874801258505725
arbitrage_trust_price,2017-05-01,0.5,0.006374960251701145,0.0031874801258505725
buy_hold,2017-06-01,1.0,0.02055426268280658,0.02055426268280658
price_math_only,2017-06-01,0.0,0.02055426268280658,0.0
web_sentiment_only,2017-06-01,1.0,0.02055426268280658,0.02055426268280658
wisdom_aligned,2017-06-01,0.5,0.02055426268280658,0.01027713134140329
arbitrage_trust_price,2017-06-01,0.0,0.02055426268280658,0.0
buy_hold,2017-07-01,1.0,0.0029176839992679504,0.0029176839992679504
price_math_only,2017-07-01,1.0,0.0029176839992679504,0.0029176839992679504
web_sentiment_only,2017-07-01,0.0,0.0029176839992679504,0.0
wisdom_aligned,2017-07-01,0.5,0.0029176839992679504,0.0014588419996339752
arbitrage_trust_price,2017-07-01,1.0,0.0029176839992679504,0.0029176839992679504
buy_hold,2017-08-01,1.0,0.02014955655564954,0.02014955655564954
price_math_only,2017-08-01,1.0,0.02014955655564954,0.02014955655564954
web_sentiment_only,2017-08-01,0.0,0.02014955655564954,0.0
wisdom_aligned,2017-08-01,0.5,0.02014955655564954,0.01007477827782477
arbitrage_trust_price,2017-08-01,1.0,0.02014955655564954,0.02014955655564954
buy_hold,2017-09-01,1.0,0.023564056629364227,0.023564056629364227
price_math_only,2017-09-01,1.0,0.023564056629364227,0.023564056629364227
web_sentiment_only,2017-09-01,0.0,0.023564056629364227,0.0
wisdom_aligned,2017-09-01,0.5,0.023564056629364227,0.011782028314682114
arbitrage_trust_price,2017-09-01,0.5,0.023564056629364227,0.011782028314682114
buy_hold,2017-10-01,1.0,0.03056573766731585,0.03056573766731585
price_math_only,2017-10-01,1.0,0.03056573766731585,0.03056573766731585
web_sentiment_only,2017-10-01,0.0,0.03056573766731585,0.0
wisdom_aligned,2017-10-01,0.5,0.03056573766731585,0.015282868833657925
arbitrage_trust_price,2017-10-01,1.0,0.03056573766731585,0.03056573766731585
buy_hold,2017-11-01,1.0,0.012127719156775463,0.012127719156775463
price_math_only,2017-11-01,1.0,0.012127719156775463,0.012127719156775463
web_sentiment_only,2017-11-01,0.0,0.012127719156775463,0.0
wisdom_aligned,2017-11-01,0.5,0.012127719156775463,0.006063859578387731
arbitrage_trust_price,2017-11-01,1.0,0.012127719156775463,0.012127719156775463
buy_hold,2017-12-01,1.0,0.05635964285435868,0.05635964285435868
price_math_only,2017-12-01,1.0,0.05635964285435868,0.05635964285435868
web_sentiment_only,2017-12-01,1.0,0.05635964285435868,0.05635964285435868
wisdom_aligned,2017-12-01,1.0,0.05635964285435868,0.05635964285435868
