month,best_sim_mode,recommendation,baseline_return_pct,web_regime_return_pct,arbitrage_return_pct,wisdom_pause_return_pct
2017-01,baseline,Stay on arbitrage — within 2% of best sim mode baseline (-0.2% vs -0.2%).,-0.23,-0.23,-0.23,-0.23
2017-02,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+3.3% vs +3.3%).,3.32,3.25,3.32,3.23
2017-03,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-1.6% vs -1.5%).,-1.57,-1.53,-1.57,-1.55
2017-04,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-1.7% vs -1.6%).,-1.72,-1.61,-1.72,-1.69
2017-05,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (+4.6% vs +4.8%).,4.64,4.77,4.64,4.7
2017-06,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+2.5% vs +2.5%).,2.5,2.5,2.5,2.43
2017-07,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+4.3% vs +4.4%).,4.34,4.21,4.34,4.44
2017-08,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (+0.9% vs +1.0%).,0.89,1.02,0.89,0.97
2017-09,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+2.3% vs +2.4%).,2.3,2.27,2.3,2.35
2017-10,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+3.8% vs +4.0%).,3.82,3.84,3.82,4.01
2017-11,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+0.2% vs +0.2%).,0.18,0.14,0.18,0.13
2017-12,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+0.2% vs +0.2%).,0.25,0.25,0.25,0.2
2018-01,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (+14.0% vs +14.1%).,14.02,13.99,14.02,14.14
2018-02,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (-2.4% vs -2.3%).,-2.42,-2.37,-2.42,-2.33
2018-03,wisdom_pause,Stay on arbitrage — within 2% of best sim mode wisdom_pause (-3.0% vs -2.9%).,-2.96,-3.05,-2.96,-2.91
2018-04,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-0.8% vs -0.7%).,-0.76,-0.74,-0.76,-0.85
2018-05,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+5.8% vs +5.8%).,5.79,5.63,5.79,5.76
2018-06,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-2.5% vs -2.4%).,-2.47,-2.37,-2.47,-2.56
2018-07,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+5.9% vs +5.9%).,5.88,5.7,5.88,5.82
2018-08,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+10.2% vs +10.2%).,10.21,10.02,10.21,10.13
2018-09,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+3.0% vs +3.0%).,2.96,2.75,2.96,2.79
2018-10,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-18.8% vs -18.5%).,-18.84,-18.53,-18.84,-18.79
2018-11,baseline,Stay on arbitrage — within 2% of best sim mode baseline (-7.9% vs -7.9%).,-7.92,-7.95,-7.92,-8.21
2018-12,web_regime,Stay on arbitrage — within 2% of best sim mode web_regime (-11.6% vs -11.6%).,-11.64,-11.6,-11.64,-11.73
2019-01,baseline,Stay on arbitrage — within 2% of best sim mode baseline (+12.7% vs +12.7%).,12.74,12.44,12.74,12.58
